Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Wochentag;Unfallstunde;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.56667058998641, 7.573765462347058;"{""coordinates"": [7.573765462347058, 47.56667058998641], ""type"": ""Point""}";2005;Parkierunfall;1 Unfall mit Sachschaden;2013;2;4 Donnerstag;;Nebenstrasse;false;false;false
47.558756925555365, 7.601301745970415;"{""coordinates"": [7.601301745970415, 47.558756925555365], ""type"": ""Point""}";2006;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;3;6 Samstag;16;Nebenstrasse;false;false;false
47.57603291263352, 7.58856858670523;"{""coordinates"": [7.58856858670523, 47.57603291263352], ""type"": ""Point""}";2009;Parkierunfall;1 Unfall mit Sachschaden;2013;3;6 Samstag;;Nebenstrasse;false;false;false
47.544359536966184, 7.606504650018909;"{""coordinates"": [7.606504650018909, 47.544359536966184], ""type"": ""Point""}";2012;Überholunfall oder Fahrstreifenwechsel;1 Unfall mit Sachschaden;2013;3;1 Montag;12;Nebenstrasse;false;false;false
47.546715434724945, 7.563978198094813;"{""coordinates"": [7.563978198094813, 47.546715434724945], ""type"": ""Point""}";2017;Parkierunfall;1 Unfall mit Sachschaden;2013;3;2 Dienstag;11;Nebenstrasse;false;false;false
47.58518176288235, 7.593685564659071;"{""coordinates"": [7.593685564659071, 47.58518176288235], ""type"": ""Point""}";2020;Auffahrunfall;1 Unfall mit Sachschaden;2013;3;2 Dienstag;17;Nebenstrasse;false;false;false
47.56868273641, 7.575856927612822;"{""coordinates"": [7.575856927612822, 47.56868273641], ""type"": ""Point""}";2021;Parkierunfall;1 Unfall mit Sachschaden;2013;3;2 Dienstag;;Nebenstrasse;false;false;false
47.570802783370134, 7.577935543434635;"{""coordinates"": [7.577935543434635, 47.570802783370134], ""type"": ""Point""}";2024;Überholunfall oder Fahrstreifenwechsel;1 Unfall mit Sachschaden;2013;3;3 Mittwoch;10;Nebenstrasse;false;false;false
47.58959325812709, 7.59017540022164;"{""coordinates"": [7.59017540022164, 47.58959325812709], ""type"": ""Point""}";2028;Parkierunfall;1 Unfall mit Sachschaden;2013;3;4 Donnerstag;;andere;false;false;false
47.542377828462826, 7.5958193302581485;"{""coordinates"": [7.595819330258148, 47.542377828462826], ""type"": ""Point""}";2031;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;3;6 Samstag;16;Nebenstrasse;false;false;false
47.56093395436338, 7.57259498144082;"{""coordinates"": [7.57259498144082, 47.56093395436338], ""type"": ""Point""}";2032;Parkierunfall;1 Unfall mit Sachschaden;2013;3;6 Samstag;;Nebenstrasse;false;false;false
47.54401906365399, 7.599211289308281;"{""coordinates"": [7.599211289308281, 47.54401906365399], ""type"": ""Point""}";2036;Auffahrunfall;1 Unfall mit Sachschaden;2013;3;2 Dienstag;7;Nebenstrasse;false;false;false
47.55084940321169, 7.620885682721985;"{""coordinates"": [7.620885682721985, 47.55084940321169], ""type"": ""Point""}";2038;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;3;2 Dienstag;14;Nebenstrasse;false;false;false
47.54414377934683, 7.579260768544815;"{""coordinates"": [7.579260768544815, 47.54414377934683], ""type"": ""Point""}";2039;Auffahrunfall;2 Unfall mit Leichtverletzten;2013;3;2 Dienstag;16;Hauptstrasse;false;false;false
47.5409911210585, 7.590289896156304;"{""coordinates"": [7.590289896156304, 47.5409911210585], ""type"": ""Point""}";2040;Parkierunfall;1 Unfall mit Sachschaden;2013;3;2 Dienstag;20;Nebenstrasse;false;false;false
47.55775100979353, 7.586776761481228;"{""coordinates"": [7.586776761481228, 47.55775100979353], ""type"": ""Point""}";2041;Parkierunfall;1 Unfall mit Sachschaden;2013;3;3 Mittwoch;10;Nebenstrasse;false;false;false
47.54401456827654, 7.620609965601966;"{""coordinates"": [7.620609965601966, 47.54401456827654], ""type"": ""Point""}";2046;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2013;3;6 Samstag;0;Nebenstrasse;false;false;false
47.569959112380815, 7.597668026981434;"{""coordinates"": [7.597668026981434, 47.569959112380815], ""type"": ""Point""}";2048;Fussgängerunfall;2 Unfall mit Leichtverletzten;2013;3;7 Sonntag;13;Nebenstrasse;true;false;false
47.5878092725552, 7.654898014492062;"{""coordinates"": [7.654898014492062, 47.5878092725552], ""type"": ""Point""}";2049;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;3;7 Sonntag;16;Nebenstrasse;false;false;false
47.543767823531816, 7.59210423869635;"{""coordinates"": [7.59210423869635, 47.543767823531816], ""type"": ""Point""}";2058;Parkierunfall;1 Unfall mit Sachschaden;2013;3;5 Freitag;;Nebenstrasse;false;false;false
47.55386008599023, 7.576708986868287;"{""coordinates"": [7.576708986868287, 47.55386008599023], ""type"": ""Point""}";2060;Fussgängerunfall;3 Unfall mit Schwerverletzten;2013;3;6 Samstag;19;Nebenstrasse;true;true;false
47.57406429523871, 7.601242080904852;"{""coordinates"": [7.601242080904852, 47.57406429523871], ""type"": ""Point""}";2062;Auffahrunfall;2 Unfall mit Leichtverletzten;2013;3;1 Montag;14;Nebenstrasse;false;false;false
47.54848366229929, 7.615298329632301;"{""coordinates"": [7.615298329632301, 47.54848366229929], ""type"": ""Point""}";2064;Auffahrunfall;1 Unfall mit Sachschaden;2013;3;4 Donnerstag;11;Autobahn;false;false;false
47.554195535850646, 7.589078561236601;"{""coordinates"": [7.589078561236601, 47.554195535850646], ""type"": ""Point""}";2071;Frontalkollision;2 Unfall mit Leichtverletzten;2013;3;7 Sonntag;1;Nebenstrasse;false;false;false
47.56583538469441, 7.564647569283787;"{""coordinates"": [7.564647569283787, 47.56583538469441], ""type"": ""Point""}";2072;Auffahrunfall;1 Unfall mit Sachschaden;2013;3;7 Sonntag;13;Hauptstrasse;false;false;false
47.539308405418396, 7.590962485110736;"{""coordinates"": [7.590962485110736, 47.539308405418396], ""type"": ""Point""}";2077;Parkierunfall;1 Unfall mit Sachschaden;2013;4;3 Mittwoch;;Nebenstrasse;false;false;false
47.57210125705359, 7.602963785581731;"{""coordinates"": [7.602963785581731, 47.57210125705359], ""type"": ""Point""}";2080;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;4;4 Donnerstag;12;Autobahn;false;false;false
47.559799259570475, 7.581427860523605;"{""coordinates"": [7.581427860523605, 47.559799259570475], ""type"": ""Point""}";2085;Auffahrunfall;1 Unfall mit Sachschaden;2013;4;6 Samstag;14;Nebenstrasse;false;false;false
47.559646556955755, 7.5884428646398225;"{""coordinates"": [7.588442864639823, 47.559646556955755], ""type"": ""Point""}";2086;Fussgängerunfall;2 Unfall mit Leichtverletzten;2013;4;6 Samstag;16;Nebenstrasse;true;false;false
47.566969488510445, 7.5638130608252565;"{""coordinates"": [7.563813060825257, 47.566969488510445], ""type"": ""Point""}";2092;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;4;4 Donnerstag;22;Nebenstrasse;false;false;false
47.548852203212, 7.61543239035311;"{""coordinates"": [7.61543239035311, 47.548852203212], ""type"": ""Point""}";2095;Auffahrunfall;2 Unfall mit Leichtverletzten;2013;4;5 Freitag;14;Autobahn;false;false;false
47.55342649841907, 7.570570101953975;"{""coordinates"": [7.570570101953975, 47.55342649841907], ""type"": ""Point""}";2101;Parkierunfall;1 Unfall mit Sachschaden;2013;4;2 Dienstag;16;Nebenstrasse;false;false;false
47.570685448541866, 7.585603295769492;"{""coordinates"": [7.585603295769492, 47.570685448541866], ""type"": ""Point""}";2102;Auffahrunfall;1 Unfall mit Sachschaden;2013;4;2 Dienstag;18;Nebenstrasse;false;false;false
47.57278756832961, 7.6009723896251815;"{""coordinates"": [7.600972389625182, 47.57278756832961], ""type"": ""Point""}";2104;Parkierunfall;1 Unfall mit Sachschaden;2013;4;2 Dienstag;;Nebenstrasse;false;false;false
47.568498628517574, 7.618620413358414;"{""coordinates"": [7.618620413358414, 47.568498628517574], ""type"": ""Point""}";2105;Parkierunfall;1 Unfall mit Sachschaden;2013;4;3 Mittwoch;14;Nebenstrasse;false;false;false
47.55183858677539, 7.596325431103089;"{""coordinates"": [7.596325431103089, 47.55183858677539], ""type"": ""Point""}";2108;Abbiegeunfall;2 Unfall mit Leichtverletzten;2013;4;4 Donnerstag;20;Nebenstrasse;false;false;true
47.554533750385765, 7.611106857375028;"{""coordinates"": [7.611106857375028, 47.554533750385765], ""type"": ""Point""}";2110;Auffahrunfall;2 Unfall mit Leichtverletzten;2013;4;4 Donnerstag;20;Nebenstrasse;false;false;false
47.586045652122785, 7.650477445096077;"{""coordinates"": [7.650477445096077, 47.586045652122785], ""type"": ""Point""}";2113;Auffahrunfall;2 Unfall mit Leichtverletzten;2013;4;6 Samstag;17;Hauptstrasse;true;false;false
47.573323289871645, 7.638213168222993;"{""coordinates"": [7.638213168222993, 47.573323289871645], ""type"": ""Point""}";2118;Parkierunfall;1 Unfall mit Sachschaden;2013;4;1 Montag;;Nebenstrasse;false;false;false
47.57229452016355, 7.624002360404037;"{""coordinates"": [7.624002360404037, 47.57229452016355], ""type"": ""Point""}";2120;Auffahrunfall;2 Unfall mit Leichtverletzten;2013;4;2 Dienstag;11;Hauptstrasse;false;false;false
47.57060082194047, 7.573775401412115;"{""coordinates"": [7.573775401412115, 47.57060082194047], ""type"": ""Point""}";2123;Parkierunfall;1 Unfall mit Sachschaden;2013;4;2 Dienstag;;andere;false;false;false
47.54446862238755, 7.599305621913655;"{""coordinates"": [7.599305621913655, 47.54446862238755], ""type"": ""Point""}";2128;Überholunfall oder Fahrstreifenwechsel;3 Unfall mit Schwerverletzten;2013;4;3 Mittwoch;14;Nebenstrasse;false;true;false
47.56361091507115, 7.582793400086261;"{""coordinates"": [7.582793400086261, 47.56361091507115], ""type"": ""Point""}";2130;Überholunfall oder Fahrstreifenwechsel;3 Unfall mit Schwerverletzten;2013;4;5 Freitag;9;Nebenstrasse;false;true;false
47.55767526335073, 7.57515106439944;"{""coordinates"": [7.57515106439944, 47.55767526335073], ""type"": ""Point""}";2131;Fussgängerunfall;3 Unfall mit Schwerverletzten;2013;4;5 Freitag;14;Nebenstrasse;true;false;false
47.537280277502994, 7.600970705989715;"{""coordinates"": [7.600970705989715, 47.537280277502994], ""type"": ""Point""}";2135;Parkierunfall;1 Unfall mit Sachschaden;2013;4;5 Freitag;;Nebenstrasse;false;false;false
47.56676230586366, 7.564118212237112;"{""coordinates"": [7.564118212237112, 47.56676230586366], ""type"": ""Point""}";2137;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;4;6 Samstag;0;Nebenstrasse;false;false;false
